TransacaoID,Data,Itens,TotalItens,Categorias
T1855,2025-01-08 11:24:16.613879,"Castanha de Caju, Cerveja IPA, Tábua de Queijos, Cachaça",4,"Cervejas, Destilados, Acompanhamentos"
T1856,2025-03-15 09:24:16.613879,"Amendoim, Torradas, Salgadinhos, Cerveja Pilsen, Batata Chips, Castanha de Caju",6,"Cervejas, Acompanhamentos"
T1857,2025-01-27 04:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó, Desentupidor",4,"Limpeza Geral, Limpeza Pesada"
T1858,2025-06-18 08:24:16.613879,"Azeitona, Vodka, Biscoito de Polvilho, Cerveja Weiss",4,"Cervejas, Destilados, Acompanhamentos"
T1859,2025-01-07 06:24:16.613879,"Limpa-Fornos, Inseticida, Detergente Industrial, Multiuso, Desinfetante, Saco de Lixo",6,"Limpeza Geral, Limpeza Pesada"
T1860,2025-04-09 08:24:16.613879,"Cachaça, Gin, Cerveja IPA, Castanha de Caju, Tábua de Queijos",5,"Cervejas, Destilados, Acompanhamentos"
T1861,2025-05-10 23:24:16.613879,"Limpa Vidros, Gin, Grão-de-Bico, Fralda P, Fralda M, Álcool 70%, Shampoo",7,"Destilados, Limpeza Pessoal, Limpeza Geral, Bebês, Grãos"
T1862,2025-05-01 10:24:16.613879,"Limpa-Fornos, Desentupidor, Inseticida, Multiuso, Água Sanitária, Desinfetante, Saco de Lixo",7,"Limpeza Geral, Limpeza Pesada"
T1863,2025-06-15 09:24:16.613879,"Desentupidor, Inseticida, Água Sanitária, Amaciante, Sabão em Pó",5,"Limpeza Geral, Limpeza Pesada"
T1864,2025-01-16 04:24:16.613879,"Pão Francês, Manteiga, Fio Dental, Leite Integral, Shampoo",5,Limpeza Pessoal
T1865,2025-05-23 06:24:16.613879,"Pomada Assadura, Saco de Lixo, Fralda G, Cerveja Artesanal, Cachaça",5,"Cervejas, Destilados, Limpeza Geral, Bebês"
T1866,2025-05-03 01:24:16.613879,"Pomada Assadura, Azeitona, Chupeta, Vinho do Porto, Feijão Carioca, Vinho Branco, Fio Dental, Leite em Pó, Inseticida, Vinho Rosé, Desinfetante, Fralda M, Tequila",13,"Destilados, Limpeza Pesada, Limpeza Pessoal, Vinhos, Bebês, Grãos, Acompanhamentos"
T1867,2025-04-27 00:24:16.613879,"Pasta de Dente, Limpa Vidros, Saco de Lixo, Álcool 70%",4,"Limpeza Pessoal, Limpeza Geral"
T1868,2025-02-13 02:24:16.613879,"Arroz Branco, Biscoito Salgado, Amendoim, Feijão Carioca, Torradas, Azeitona, Óleo de Soja",7,"Grãos, Acompanhamentos"
T1869,2025-02-03 08:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips",3,"Cervejas, Acompanhamentos"
T1870,2024-12-28 11:24:16.613879,"Limpa-Fornos, Desentupidor, Multiuso, Desinfetante, Saco de Lixo",5,"Limpeza Geral, Limpeza Pesada"
T1871,2025-03-26 04:24:16.613879,"Cerveja IPA, Tequila, Desinfetante, Pasta de Amendoim",4,"Cervejas, Destilados, Limpeza Pesada, Acompanhamentos"
T1872,2025-01-02 10:24:16.613879,"Whisky, Fralda XG, Desinfetante, Limpa-Fornos, Inseticida, Espumante, Macarrão Parafuso, Cerveja Zero Álcool, Macarrão Instantâneo, Pomada Assadura",10,"Destilados, Limpeza Pesada, Massas, Vinhos, Bebês, Cervejas"
T1873,2025-05-20 05:24:16.613879,"Fralda M, Lenço Umedecido, Fralda XG, Mamadeira, Papinha, Pomada Assadura, Leite em Pó",7,Bebês
T1874,2025-04-17 11:24:16.613879,"Cerveja Artesanal, Cerveja Pilsen, Torradas, Cerveja Weiss",4,"Cervejas, Acompanhamentos"
T1875,2025-05-20 04:24:16.613879,"Cerveja Pilsen, Multiuso, Leite em Pó, Desentupidor, Grão-de-Bico, Farinha de Trigo",6,"Limpeza Pesada, Massas, Limpeza Geral, Bebês, Cervejas, Grãos"
T1876,2025-06-10 06:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips",3,"Cervejas, Acompanhamentos"
T1877,2025-03-07 01:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips",3,"Cervejas, Acompanhamentos"
T1878,2025-05-21 02:24:16.613879,"Papinha, Cerveja Pilsen, Feijão Carioca, Inseticida, Vodka, Torradas, Detergente Industrial, Pasta de Dente",8,"Destilados, Limpeza Pesada, Limpeza Pessoal, Bebês, Cervejas, Grãos, Acompanhamentos"
T1879,2025-05-29 04:24:16.613879,"Cerveja Zero Álcool, Cerveja IPA, Multiuso, Pasta de Amendoim, Fralda P, Biscoito de Polvilho, Leite em Pó, Vinho Tinto Seco, Batata Chips, Grão-de-Bico, Rum, Macarrão Penne, Chupeta, Limpa Vidros, Papinha, Pasta de Dente",16,"Destilados, Massas, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Limpeza Geral, Grãos, Acompanhamentos"
T1880,2025-05-12 08:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó",3,"Limpeza Geral, Limpeza Pesada"
T1881,2025-06-13 10:24:16.613879,"Desinfetante, Multiuso, Saco de Lixo",3,"Limpeza Geral, Limpeza Pesada"
T1882,2025-05-21 11:24:16.613879,"Pasta de Dente, Limpa Vidros, Álcool 70%",3,"Limpeza Pessoal, Limpeza Geral"
T1883,2024-12-26 09:24:16.613879,"Sabonete Líquido, Papinha, Fralda G",3,"Limpeza Pessoal, Bebês"
T1884,2025-06-18 05:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips",3,"Cervejas, Acompanhamentos"
T1885,2025-01-10 08:24:16.613879,"Pão Francês, Macarrão Espaguete, Manteiga, Macarrão Instantâneo, Macarrão Parafuso, Leite Integral, Farinha de Trigo",7,Massas
T1886,2025-03-06 04:24:16.613879,"Multiuso, Amendoim, Rum, Lentilha, Salgadinhos, Tábua de Queijos, Pomada Assadura, Castanha de Caju, Whisky, Fralda G, Lenço Umedecido, Feijão Carioca, Batata Chips, Álcool 70%, Cerveja Zero Álcool, Desentupidor, Farinha de Mandioca, Gin, Arroz Integral",19,"Destilados, Limpeza Pesada, Massas, Limpeza Geral, Bebês, Cervejas, Grãos, Acompanhamentos"
T1887,2025-05-25 11:24:16.613879,"Pasta de Dente, Limpa Vidros, Álcool 70%",3,"Limpeza Pessoal, Limpeza Geral"
T1888,2025-02-26 09:24:16.613879,"Chupeta, Azeitona, Castanha de Caju, Batata Chips, Água Sanitária, Grão-de-Bico, Fralda XG, Tábua de Queijos, Pomada Assadura, Desinfetante, Cerveja Artesanal, Fralda M, Cerveja Lager, Condicionador",14,"Limpeza Pesada, Limpeza Pessoal, Bebês, Cervejas, Grãos, Acompanhamentos"
T1889,2025-03-12 04:24:16.613879,"Vinho do Porto, Vinho Branco, Amaciante, Desinfetante, Salgadinhos, Lenço Umedecido, Fio Dental, Grão-de-Bico, Cerveja Weiss",9,"Cervejas, Limpeza Pesada, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Grãos, Acompanhamentos"
T1890,2024-12-21 09:24:16.613879,"Cerveja Pilsen, Batata Chips, Vinho do Porto, Limpa Vidros, Macarrão Penne",5,"Massas, Limpeza Geral, Vinhos, Cervejas, Acompanhamentos"
T1891,2025-02-15 05:24:16.613879,"Arroz Branco, Feijão Carioca, Óleo de Soja",3,Grãos
T1892,2025-04-20 02:24:16.613879,"Pão Francês, Manteiga, Vinho do Porto, Vinho Branco, Espumante, Leite Integral",6,Vinhos
T1893,2025-05-03 09:24:16.613879,"Arroz Branco, Desentupidor, Limpa-Fornos, Feijão Carioca, Detergente Industrial, Óleo de Soja, Desinfetante",7,"Grãos, Limpeza Pesada"
T1894,2025-05-08 10:24:16.613879,"Fralda M, Lenço Umedecido, Fralda P, Mamadeira, Fralda G, Pomada Assadura",6,Bebês
T1895,2024-12-21 09:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips, Biscoito de Polvilho",4,"Cervejas, Acompanhamentos"
T1896,2025-04-09 08:24:16.613879,"Sabonete Líquido, Papinha, Fralda G",3,"Limpeza Pessoal, Bebês"
T1897,2025-04-11 22:24:16.613879,"Limpa Vidros, Fralda G",2,"Limpeza Geral, Bebês"
T1898,2025-04-10 07:24:16.613879,"Torradas, Cerveja Zero Álcool, Cerveja Artesanal, Lentilha, Rum",5,"Cervejas, Grãos, Destilados, Acompanhamentos"
T1899,2025-03-14 04:24:16.613879,"Amendoim, Cachaça, Vodka, Gin, Cerveja Pilsen, Batata Chips",6,"Cervejas, Destilados, Acompanhamentos"
T1900,2025-05-22 10:24:16.613879,"Limpa-Fornos, Desentupidor, Inseticida, Multiuso, Água Sanitária, Desinfetante, Saco de Lixo",7,"Limpeza Geral, Limpeza Pesada"
T1901,2025-01-12 09:24:16.613879,"Sabonete Líquido, Papinha, Fralda G",3,"Limpeza Pessoal, Bebês"
T1902,2025-01-29 03:24:16.613879,"Batata Chips, Grão-de-Bico, Torradas, Detergente Industrial, Condicionador, Chupeta, Cerveja Zero Álcool, Vinho Branco, Feijão Carioca, Sabonete Líquido, Limpa Vidros, Feijão Preto, Cerveja Artesanal, Cerveja Weiss, Vinho do Porto, Tábua de Queijos, Fio Dental",17,"Limpeza Pesada, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Limpeza Geral, Grãos, Acompanhamentos"
T1903,2025-04-07 06:24:16.613879,"Condicionador, Fralda M, Salgadinhos, Gin, Fralda G, Feijão Carioca, Batata Chips, Vinho Branco, Arroz Integral, Shampoo, Macarrão Espaguete, Limpa Vidros, Macarrão Instantâneo, Farinha de Trigo, Vinho do Porto, Mamadeira, Saco de Lixo, Espumante, Tábua de Queijos, Rum",20,"Destilados, Massas, Limpeza Pessoal, Vinhos, Bebês, Limpeza Geral, Grãos, Acompanhamentos"
T1904,2025-02-15 04:24:16.613879,"Arroz Branco, Feijão Carioca, Limpa Vidros, Óleo de Soja, Multiuso, Sabão em Pó, Saco de Lixo",7,"Grãos, Limpeza Geral"
T1905,2025-03-15 22:24:16.613879,"Macarrão Instantâneo, Pasta de Amendoim, Água Sanitária, Azeitona, Castanha de Caju, Condicionador, Vinho Rosé, Farinha de Trigo, Feijão Preto, Macarrão Espaguete, Limpa-Fornos, Creme de Barbear, Biscoito Salgado, Torradas, Gin, Chupeta, Cerveja Lager, Tábua de Queijos",18,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Grãos, Acompanhamentos"
T1906,2025-03-16 05:24:16.613879,"Fralda M, Mamadeira, Pomada Assadura, Leite em Pó",4,Bebês
T1907,2024-12-23 08:24:16.613879,"Leite Integral, Pão Francês, Biscoito de Polvilho, Manteiga",4,Acompanhamentos
T1908,2025-03-10 00:24:16.613879,"Chupeta, Pomada Assadura, Lenço Umedecido, Fralda P",4,Bebês
T1909,2025-04-18 08:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó",3,"Limpeza Geral, Limpeza Pesada"
T1910,2025-06-19 05:24:16.613879,"Cerveja Weiss, Batata Chips, Desentupidor, Desinfetante",4,"Cervejas, Limpeza Pesada, Acompanhamentos"
T1911,2025-02-18 10:24:16.613879,"Amendoim, Biscoito Salgado, Azeitona, Salgadinhos, Cerveja Pilsen, Batata Chips, Tábua de Queijos",7,"Cervejas, Acompanhamentos"
T1912,2025-03-11 10:24:16.613879,"Tequila, Azeitona, Cerveja Pilsen, Farinha de Mandioca, Desentupidor, Gin, Cachaça, Fralda M, Feijão Carioca",9,"Destilados, Limpeza Pesada, Massas, Bebês, Cervejas, Grãos, Acompanhamentos"
T1913,2025-06-14 08:24:16.613879,"Álcool 70%, Whisky, Cerveja IPA, Castanha de Caju, Arroz Branco, Biscoito de Polvilho, Saco de Lixo, Condicionador, Amaciante, Cerveja Lager, Cerveja Zero Álcool, Macarrão Penne, Farinha de Trigo, Tábua de Queijos, Vinho Branco, Limpa Vidros, Cachaça, Azeitona, Inseticida",19,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Vinhos, Cervejas, Grãos, Acompanhamentos"
T1914,2025-04-26 01:24:16.613879,"Sabonete Líquido, Fralda M, Condicionador, Mamadeira, Pasta de Dente, Creme de Barbear, Leite em Pó",7,"Limpeza Pessoal, Bebês"
T1915,2025-06-11 03:24:16.613879,"Vinho do Porto, Lentilha, Vodka, Álcool 70%, Macarrão Penne, Multiuso, Desinfetante",7,"Destilados, Limpeza Pesada, Massas, Limpeza Geral, Vinhos, Grãos"
T1916,2024-12-24 03:24:16.613879,"Arroz Branco, Cachaça, Vodka, Feijão Carioca, Rum, Whisky, Óleo de Soja, Tequila",8,"Grãos, Destilados"
T1917,2024-12-29 09:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó",3,"Limpeza Geral, Limpeza Pesada"
T1918,2025-06-06 05:24:16.613879,"Sabonete Líquido, Condicionador, Papinha, Fralda G, Fio Dental, Pasta de Dente, Creme de Barbear",7,"Limpeza Pessoal, Bebês"
T1919,2024-12-24 08:24:16.613879,"Azeitona, Álcool 70%, Amaciante, Lenço Umedecido, Feijão Preto, Salgadinhos, Sabão em Pó, Papinha, Tábua de Queijos, Rum, Cerveja Weiss, Macarrão Espaguete, Pasta de Amendoim, Cerveja Artesanal, Arroz Integral, Cerveja Lager, Biscoito de Polvilho, Macarrão Penne, Lentilha, Saco de Lixo",20,"Destilados, Massas, Limpeza Geral, Bebês, Cervejas, Grãos, Acompanhamentos"
T1920,2025-02-26 00:24:16.613879,"Álcool 70%, Limpa Vidros, Água Sanitária, Multiuso, Amaciante, Sabão em Pó",6,"Limpeza Pesada, Limpeza Geral"
T1921,2025-02-08 07:24:16.613879,"Macarrão Espaguete, Macarrão Instantâneo, Chupeta, Vinho do Porto, Álcool 70%, Arroz Integral, Vinho Branco, Desentupidor",8,"Limpeza Pesada, Massas, Bebês, Limpeza Geral, Vinhos, Grãos"
T1922,2025-01-30 03:24:16.613879,"Multiuso, Fralda M, Cerveja Weiss, Cerveja Pilsen, Torradas, Lenço Umedecido, Fralda G, Pasta de Amendoim, Saco de Lixo, Creme de Barbear",10,"Limpeza Pessoal, Limpeza Geral, Bebês, Cervejas, Acompanhamentos"
T1923,2025-01-23 11:24:16.613879,"Azeitona, Vodka, Cachaça, Rum, Whisky, Cerveja Weiss, Biscoito de Polvilho, Tequila",8,"Cervejas, Destilados, Acompanhamentos"
T1924,2025-05-16 09:24:16.613879,"Amendoim, Vodka, Gin, Cerveja Pilsen, Whisky, Batata Chips, Tequila",7,"Cervejas, Destilados, Acompanhamentos"
T1925,2024-12-29 09:24:16.613879,"Amendoim, Azeitona, Cerveja Weiss, Biscoito de Polvilho, Batata Chips",5,"Cervejas, Acompanhamentos"
T1926,2025-05-08 08:24:16.613879,"Arroz Branco, Feijão Carioca, Cerveja Pilsen, Cerveja Weiss, Óleo de Soja, Cerveja IPA",6,"Cervejas, Grãos"
T1927,2025-06-12 03:24:16.613879,"Pomada Assadura, Lenço Umedecido, Cerveja IPA, Biscoito Salgado, Arroz Integral, Feijão Carioca, Whisky, Cerveja Zero Álcool, Pasta de Amendoim, Torradas, Fralda M, Vinho Rosé, Shampoo, Gin, Detergente Industrial, Cerveja Pilsen, Batata Chips",17,"Destilados, Limpeza Pesada, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Grãos, Acompanhamentos"
T1928,2025-02-18 11:24:16.613879,"Desentupidor, Feijão Carioca, Inseticida, Salgadinhos, Cerveja Zero Álcool, Tequila, Desinfetante, Multiuso, Grão-de-Bico, Sabonete Líquido, Fralda P, Biscoito Salgado, Macarrão Espaguete, Torradas, Cerveja Weiss",15,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Cervejas, Grãos, Acompanhamentos"
T1929,2025-03-25 10:24:16.613879,"Desinfetante, Multiuso, Saco de Lixo",3,"Limpeza Geral, Limpeza Pesada"
T1930,2025-04-13 08:24:16.613879,"Amendoim, Vodka, Cerveja Pilsen, Whisky, Batata Chips, Tequila",6,"Cervejas, Destilados, Acompanhamentos"
T1931,2025-02-07 11:24:16.613879,"Pomada Assadura, Lenço Umedecido, Leite em Pó, Fralda P",4,Bebês
T1932,2025-05-04 10:24:16.613879,"Vinho Tinto Seco, Tábua de Queijos, Gin, Álcool 70%, Feijão Preto, Macarrão Parafuso",6,"Destilados, Massas, Limpeza Geral, Vinhos, Grãos, Acompanhamentos"
T1933,2025-01-18 08:24:16.613879,"Álcool 70%, Água Sanitária, Amaciante, Sabão em Pó, Saco de Lixo",5,"Limpeza Pesada, Limpeza Geral"
T1934,2025-05-15 07:24:16.613879,"Água Sanitária, Multiuso, Amaciante, Sabão em Pó, Saco de Lixo",5,"Limpeza Geral, Limpeza Pesada"
T1935,2025-03-17 03:24:16.613879,"Sabonete Líquido, Fralda P, Mamadeira, Chupeta, Papinha, Fralda G, Pomada Assadura, Leite em Pó",8,"Limpeza Pessoal, Bebês"
T1936,2025-05-18 07:24:16.613879,"Álcool 70%, Limpa Vidros, Multiuso, Sabão em Pó, Pasta de Dente, Saco de Lixo",6,"Limpeza Pessoal, Limpeza Geral"
T1937,2025-02-13 07:24:16.613879,"Leite em Pó, Desentupidor, Detergente Industrial, Vodka, Farinha de Trigo, Macarrão Penne, Pomada Assadura, Gin, Tequila, Limpa Vidros, Saco de Lixo, Fralda XG, Feijão Preto, Cerveja Pilsen, Cerveja Lager, Cachaça, Farinha de Mandioca",17,"Destilados, Limpeza Pesada, Massas, Limpeza Geral, Bebês, Cervejas, Grãos"
T1938,2025-01-12 10:24:16.613879,"Castanha de Caju, Cerveja IPA, Tábua de Queijos, Biscoito Salgado",4,"Cervejas, Acompanhamentos"
T1939,2025-03-23 09:24:16.613879,"Amendoim, Pão Francês, Biscoito Salgado, Manteiga, Torradas, Batata Chips, Leite Integral, Castanha de Caju",8,Acompanhamentos
T1940,2024-12-24 02:24:16.613879,"Castanha de Caju, Cerveja IPA, Tábua de Queijos",3,"Cervejas, Acompanhamentos"
T1941,2025-06-17 02:24:16.613879,"Azeitona, Biscoito de Polvilho, Cerveja Weiss",3,"Cervejas, Acompanhamentos"
T1942,2025-02-08 08:24:16.613879,"Rum, Vodka, Gin, Whisky, Cerveja IPA, Castanha de Caju, Tábua de Queijos, Tequila",8,"Cervejas, Destilados, Acompanhamentos"
T1943,2025-04-04 02:24:16.613879,"Macarrão Instantâneo, Cachaça, Fio Dental, Desentupidor, Vodka",5,"Massas, Limpeza Pessoal, Destilados, Limpeza Pesada"
T1944,2025-05-22 03:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips",3,"Cervejas, Acompanhamentos"
T1945,2025-06-05 00:24:16.613879,"Feijão Preto, Farinha de Mandioca, Álcool 70%, Shampoo, Feijão Carioca, Desinfetante, Vodka, Detergente Industrial, Chupeta, Vinho Rosé, Gin, Sabonete Líquido, Cerveja Artesanal, Sabão em Pó, Cerveja IPA",15,"Cervejas, Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Grãos"
T1946,2025-03-07 04:24:16.613879,"Fio Dental, Rum, Grão-de-Bico",3,"Grãos, Limpeza Pessoal, Destilados"
T1947,2025-01-20 10:24:16.613879,"Castanha de Caju, Fralda P",2,"Bebês, Acompanhamentos"
T1948,2025-01-10 09:24:16.613879,"Azeitona, Vodka, Rum, Cachaça, Whisky, Cerveja Weiss, Biscoito de Polvilho, Tequila",8,"Cervejas, Destilados, Acompanhamentos"
T1949,2024-12-31 04:24:16.613879,"Macarrão Parafuso, Cerveja IPA, Macarrão Instantâneo, Whisky, Salgadinhos, Torradas, Leite em Pó, Arroz Integral, Farinha de Mandioca, Fio Dental, Biscoito de Polvilho, Feijão Carioca, Macarrão Espaguete, Fralda G",14,"Destilados, Massas, Limpeza Pessoal, Bebês, Cervejas, Grãos, Acompanhamentos"
T1950,2025-03-31 05:24:16.613879,"Fralda M, Mamadeira, Papinha, Leite em Pó",4,Bebês
T1951,2025-04-10 06:24:16.613879,"Sabonete Líquido, Condicionador, Lenço Umedecido, Fralda P, Pomada Assadura",5,"Limpeza Pessoal, Bebês"
T1952,2025-04-16 01:24:16.613879,"Pasta de Amendoim, Fralda M, Fio Dental, Amaciante, Cerveja Pilsen, Biscoito Salgado, Inseticida, Água Sanitária, Farinha de Mandioca, Tequila",10,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Cervejas, Acompanhamentos"
T1953,2025-01-27 10:24:16.613879,"Castanha de Caju, Cerveja IPA, Tábua de Queijos, Vodka",4,"Cervejas, Destilados, Acompanhamentos"
T1954,2025-03-13 04:24:16.613879,"Fralda M, Mamadeira, Creme de Barbear, Leite em Pó",4,"Limpeza Pessoal, Bebês"
T1955,2025-04-04 02:24:16.613879,"Amendoim, Azeitona, Pasta de Amendoim, Torradas, Cerveja Pilsen, Batata Chips",6,"Cervejas, Acompanhamentos"
T1956,2025-03-17 09:24:16.613879,"Álcool 70%, Limpa Vidros, Multiuso, Amaciante, Sabão em Pó, Pasta de Dente, Saco de Lixo",7,"Limpeza Pessoal, Limpeza Geral"
T1957,2025-02-10 11:24:16.613879,"Feijão Preto, Salgadinhos, Limpa Vidros, Whisky, Farinha de Trigo, Chupeta, Espumante, Vinho Rosé, Grão-de-Bico, Vinho do Porto",10,"Destilados, Massas, Limpeza Geral, Bebês, Vinhos, Grãos, Acompanhamentos"
T1958,2025-03-24 10:24:16.613879,"Desinfetante, Multiuso, Saco de Lixo",3,"Limpeza Geral, Limpeza Pesada"
T1959,2025-03-30 09:24:16.613879,"Fralda M, Condicionador, Mamadeira, Pasta de Dente, Leite em Pó",5,"Limpeza Pessoal, Bebês"
T1960,2025-03-23 03:24:16.613879,"Sabonete Líquido, Condicionador, Papinha, Fralda G, Fio Dental, Creme de Barbear",6,"Limpeza Pessoal, Bebês"
T1961,2025-03-28 01:24:16.613879,"Limpa-Fornos, Inseticida, Água Sanitária, Amaciante, Sabão em Pó",5,"Limpeza Geral, Limpeza Pesada"
T1962,2025-03-25 08:24:16.613879,"Arroz Branco, Feijão Carioca, Whisky, Óleo de Soja",4,"Grãos, Destilados"
T1963,2025-04-02 09:24:16.613879,"Arroz Branco, Feijão Carioca, Inseticida, Detergente Industrial, Óleo de Soja, Água Sanitária, Desinfetante",7,"Grãos, Limpeza Pesada"
T1964,2025-02-20 08:24:16.613879,"Arroz Branco, Feijão Carioca, Álcool 70%, Limpa Vidros, Óleo de Soja, Sabão em Pó, Saco de Lixo",7,"Grãos, Limpeza Geral"
T1965,2025-05-20 01:24:16.613879,"Leite Integral, Pão Francês, Manteiga, Azeitona",4,Acompanhamentos
T1966,2025-02-22 02:24:16.613879,"Fralda M, Mamadeira, Lenço Umedecido, Leite em Pó",4,Bebês
T1967,2025-01-04 05:24:16.613879,"Água Sanitária, Limpa-Fornos, Detergente Industrial, Fralda P",4,"Limpeza Pesada, Bebês"
T1968,2025-06-14 01:24:16.613879,"Amendoim, Azeitona, Torradas, Cerveja Weiss, Biscoito de Polvilho, Batata Chips",6,"Cervejas, Acompanhamentos"
T1969,2025-05-10 11:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó",3,"Limpeza Geral, Limpeza Pesada"
T1970,2025-06-07 10:24:16.613879,"Arroz Branco, Desentupidor, Feijão Carioca, Óleo de Soja, Água Sanitária",5,"Grãos, Limpeza Pesada"
T1971,2025-06-13 08:24:16.613879,"Arroz Branco, Macarrão Instantâneo, Feijão Preto, Mamadeira, Amendoim, Creme de Barbear",6,"Massas, Limpeza Pessoal, Bebês, Grãos, Acompanhamentos"
T1972,2025-03-18 12:24:16.613879,"Vodka, Vinho Rosé, Macarrão Penne, Pasta de Amendoim, Inseticida, Macarrão Espaguete, Tequila, Arroz Branco, Macarrão Parafuso, Pasta de Dente, Sabão em Pó, Cerveja IPA, Amaciante, Mamadeira, Biscoito de Polvilho, Shampoo",16,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Bebês, Vinhos, Limpeza Geral, Cervejas, Grãos, Acompanhamentos"
T1973,2025-05-17 04:24:16.613879,"Fralda M, Arroz Integral, Lentilha, Feijão Carioca, Vinho do Porto",5,"Grãos, Vinhos, Bebês"
T1974,2025-03-02 08:24:16.613879,"Chupeta, Pomada Assadura, Lenço Umedecido, Fralda P",4,Bebês
T1975,2025-05-02 08:24:16.613879,"Amendoim, Rum, Vodka, Cachaça, Cerveja Pilsen, Whisky, Batata Chips, Tequila",8,"Cervejas, Destilados, Acompanhamentos"
T1976,2025-04-18 09:24:16.613879,"Arroz Branco, Feijão Carioca, Óleo de Soja, Vinho do Porto, Vinho Branco, Vinho Tinto Seco",6,"Grãos, Vinhos"
T1977,2025-02-14 06:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips, Biscoito de Polvilho",4,"Cervejas, Acompanhamentos"
T1978,2024-12-29 03:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó",3,"Limpeza Geral, Limpeza Pesada"
T1979,2025-03-31 02:24:16.613879,"Fralda M, Mamadeira, Creme de Barbear, Shampoo, Leite em Pó",5,"Limpeza Pessoal, Bebês"
T1980,2025-05-17 09:24:16.613879,Salgadinhos,1,Acompanhamentos
T1981,2025-05-27 05:24:16.613879,"Sabonete Líquido, Papinha, Shampoo, Fralda G",4,"Limpeza Pessoal, Bebês"
T1982,2025-04-13 01:24:16.613879,"Fralda XG, Batata Chips, Tábua de Queijos, Biscoito Salgado, Limpa-Fornos, Amaciante, Sabonete Líquido",7,"Limpeza Pesada, Limpeza Pessoal, Limpeza Geral, Bebês, Acompanhamentos"
T1983,2025-06-16 03:24:16.613879,"Amendoim, Azeitona, Salgadinhos, Cerveja IPA, Castanha de Caju, Tábua de Queijos",6,"Cervejas, Acompanhamentos"
T1984,2025-04-20 04:24:16.613879,"Vinho do Porto, Fralda G, Creme de Barbear, Macarrão Instantâneo, Cerveja Zero Álcool, Pomada Assadura, Azeitona, Cerveja Weiss",8,"Massas, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Acompanhamentos"
T1985,2025-01-20 08:24:16.613879,"Amendoim, Biscoito Salgado, Torradas, Salgadinhos, Cerveja Pilsen, Batata Chips",6,"Cervejas, Acompanhamentos"
T1986,2025-03-31 23:24:16.613879,"Saco de Lixo, Cerveja Artesanal, Vinho Tinto Seco, Cerveja IPA, Lenço Umedecido, Whisky, Rum",7,"Destilados, Bebês, Vinhos, Limpeza Geral, Cervejas"
T1987,2025-04-26 11:24:16.613879,"Arroz Branco, Biscoito Salgado, Azeitona, Feijão Carioca, Torradas, Óleo de Soja, Biscoito de Polvilho",7,"Grãos, Acompanhamentos"
T1988,2025-01-27 01:24:16.613879,"Mamadeira, Condicionador, Macarrão Espaguete, Torradas, Castanha de Caju, Fralda M, Saco de Lixo, Vinho do Porto, Gin",9,"Destilados, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Acompanhamentos"
T1989,2025-05-25 02:24:16.613879,"Biscoito Salgado, Batata Chips, Castanha de Caju, Cerveja Weiss, Limpa-Fornos, Vodka, Saco de Lixo",7,"Destilados, Limpeza Pesada, Limpeza Geral, Cervejas, Acompanhamentos"
T1990,2025-02-05 10:24:16.613879,"Biscoito Salgado, Azeitona, Cerveja IPA, Biscoito de Polvilho, Castanha de Caju, Tábua de Queijos",6,"Cervejas, Acompanhamentos"
T1991,2025-06-04 08:24:16.613879,"Limpa Vidros, Multiuso, Amaciante, Desinfetante, Saco de Lixo",5,"Limpeza Pesada, Limpeza Geral"
T1992,2025-02-17 08:24:16.613879,"Sabonete Líquido, Condicionador, Lenço Umedecido, Fralda P, Fio Dental, Pasta de Dente, Pomada Assadura, Shampoo",8,"Limpeza Pessoal, Bebês"
